m,r,d,seed,n_recover,n_lib,dt,tot_iters
10,2,2,7,51,66,1.3488924503326416,4150
10,2,2,8,44,66,1.8541979789733887,6450
10,2,2,9,53,66,0.9781074523925781,5500
15,2,2,0,77,136,11.998128890991211,12975
15,2,2,1,55,136,11.059086322784424,11575
15,2,2,2,85,136,10.733648538589478,10875
15,2,2,3,82,136,11.327126026153564,12050
15,2,2,4,81,136,10.487271308898926,11925
15,2,2,5,73,136,6.671347141265869,8000
15,2,2,6,85,136,14.938352584838867,17500
15,2,2,7,75,136,6.871216297149658,6900
15,2,2,8,67,136,12.637989044189453,14600
15,2,2,9,61,136,5.35371994972229,5700
20,2,2,0,108,231,17.78259515762329,12750
20,2,2,1,98,231,21.28925848007202,16175
20,2,2,2,119,231,14.55068302154541,10450
20,2,2,3,109,231,15.007824420928955,10650
20,2,2,4,99,231,22.478034019470215,15975
20,2,2,5,109,231,20.268064498901367,15075
20,2,2,6,105,231,19.924267768859863,15550
20,2,2,7,101,231,20.11846947669983,15050
20,2,2,8,118,231,16.438312768936157,11675
20,2,2,9,133,231,19.471219539642334,14425
25,2,2,0,145,351,30.874064445495605,15175
25,2,2,1,124,351,34.073092222213745,16000
25,2,2,2,180,351,26.641681671142578,12100
25,2,2,3,149,351,26.099740266799927,12300
25,2,2,4,127,351,27.97709083557129,14200
25,2,2,5,170,351,34.149139404296875,16475
25,2,2,6,140,351,37.40640997886658,18175
25,2,2,7,164,351,38.679887533187866,19000
25,2,2,8,136,351,33.18176555633545,17050
25,2,2,9,136,351,37.61739754676819,18000
30,2,2,0,178,496,50.640339374542236,16325
30,2,2,1,178,496,62.10205030441284,20250
30,2,2,2,197,496,51.434537172317505,16450
30,2,2,3,177,496,50.03987455368042,16550
30,2,2,4,175,496,54.74177622795105,18475
30,2,2,5,241,496,59.358566761016846,17825
30,2,2,6,176,496,52.577123403549194,18325
30,2,2,7,192,496,56.37439441680908,16200
30,2,2,8,162,496,47.853925466537476,16575
30,2,2,9,222,496,64.82221412658691,18200
35,2,2,0,267,666,101.30562138557434,19575
35,2,2,1,205,666,99.8847029209137,20075
35,2,2,2,225,666,74.87800598144531,17975
35,2,2,3,223,666,73.80007100105286,17550
35,2,2,4,228,666,102.78034400939941,20875
35,2,2,5,209,666,68.23671340942383,13375
35,2,2,6,173,666,76.25726199150085,15675
35,2,2,7,253,666,76.48352241516113,13850
35,2,2,8,252,666,57.42139005661011,12400
35,2,2,9,210,666,75.3823733329773,14225
40,2,2,0,310,861,130.4738552570343,17400
40,2,2,1,257,861,149.47327709197998,20800
40,2,2,2,306,861,124.79546809196472,16750
40,2,2,3,295,861,129.93263792991638,20650
40,2,2,4,291,861,128.31396436691284,17925
40,2,2,5,320,861,164.29082918167114,22375
40,2,2,6,245,861,140.94443821907043,19875
40,2,2,7,289,861,135.7020013332367,19675
40,2,2,8,264,861,151.88722109794617,20600
40,2,2,9,296,861,162.38788175582886,21000
45,2,2,0,326,1081,164.02074337005615,18950
45,2,2,1,298,1081,177.78188276290894,19675
45,2,2,2,306,1081,152.8993752002716,16075
45,2,2,3,329,1081,171.7280900478363,19175
45,2,2,4,272,1081,135.39977192878723,15550
45,2,2,5,328,1081,205.13127827644348,19075
45,2,2,6,332,1081,211.99255323410034,20875
45,2,2,7,361,1081,220.40375399589539,20025
45,2,2,8,310,1081,188.76463985443115,18125
45,2,2,9,344,1081,223.4888949394226,19825
50,2,2,0,375,1326,257.81462478637695,16275
50,2,2,1,348,1326,299.748028755188,17575
50,2,2,2,375,1326,247.61631989479065,15350
50,2,2,3,363,1326,313.30063009262085,18550
50,2,2,4,356,1326,275.9503095149994,17950
50,2,2,5,397,1326,326.10646986961365,19150
50,2,2,6,327,1326,312.68779492378235,22150
