m,r,d,seed,n_recover,n_lib,dt,tot_iters
25,2,2,3,162,351,7535.877538204193,20950
25,2,2,4,136,351,7787.486828804016,20175
25,2,2,5,161,351,6572.527030467987,17650
25,2,2,6,139,351,6994.158603191376,18550
25,2,2,7,159,351,8137.802716970444,21025
25,2,2,8,115,351,7427.295946359634,19475
25,2,2,9,120,351,7963.0418176651,20225
30,2,2,0,196,496,20555.735635757446,17050
30,2,2,1,185,496,25055.020354032516,20500
30,2,2,2,201,496,23663.916471242905,20175
30,2,2,3,161,496,21254.29404115677,16950
30,2,2,4,165,496,23317.529465198517,19325
30,2,2,5,203,496,22229.473938703537,17700
30,2,2,6,164,496,24271.357990026474,19125
30,2,2,7,193,496,24884.739147901535,18750
30,2,2,8,171,496,26406.0683426857,20350
30,2,2,9,192,496,25955.5717792511,19425
6,2,3,0,68,84,9.695727109909058,2175
6,2,3,1,69,84,33.83882284164429,9675
6,2,3,2,76,84,16.274127960205078,4575
6,2,3,3,66,84,18.440539836883545,4825
6,2,3,4,72,84,8.217383861541748,1775
6,2,3,5,70,84,13.775324821472168,3175
6,2,3,6,78,84,9.742187023162842,1950
6,2,3,7,68,84,10.53299069404602,2350
6,2,3,8,73,84,12.156460523605347,2850
6,2,3,9,59,84,9.825676441192627,2300
7,2,3,0,93,120,35.64952898025513,3850
7,2,3,1,82,120,29.133123874664307,3225
7,2,3,2,82,120,73.77493286132812,9250
7,2,3,3,91,120,44.087965965270996,5425
7,2,3,4,82,120,32.15916347503662,3600
7,2,3,5,95,120,19.338294506072998,1875
7,2,3,6,95,120,42.17445755004883,4850
7,2,3,7,80,120,25.809003591537476,2775
7,2,3,8,71,120,23.799398183822632,2500
7,2,3,9,82,120,67.84706354141235,8150
8,2,3,0,88,165,77.90210461616516,4650
8,2,3,1,128,165,46.23045039176941,2225
8,2,3,2,103,165,126.1443862915039,7275
8,2,3,3,98,165,76.61783266067505,4250
8,2,3,4,98,165,89.50563549995422,5225
8,2,3,5,107,165,57.94911432266235,2925
8,2,3,6,108,165,83.75384378433228,4250
8,2,3,7,130,165,55.519267320632935,3075
8,2,3,8,106,165,59.48459267616272,3250
8,2,3,9,102,165,98.35174131393433,5800
9,2,3,0,121,220,214.99299597740173,6750
9,2,3,1,165,220,286.52038049697876,8775
9,2,3,2,142,220,186.75073552131653,5675
9,2,3,3,124,220,227.93890476226807,6875
9,2,3,4,132,220,81.85765957832336,2000
9,2,3,5,153,220,62.53370761871338,1425
9,2,3,6,141,220,134.1467800140381,3600
9,2,3,7,152,220,131.36982131004333,3550
9,2,3,8,145,220,105.69508719444275,2750
9,2,3,9,171,220,224.69049835205078,6950
10,2,3,0,142,286,232.95901226997375,3200
10,2,3,1,155,286,225.264790058136,3100
10,2,3,2,158,286,282.1783812046051,4100
10,2,3,3,142,286,313.3223044872284,4625
10,2,3,4,152,286,325.9943194389343,5175
10,2,3,5,134,286,452.91610765457153,7375
10,2,3,6,146,286,267.4512119293213,4075
10,2,3,7,174,286,231.06011605262756,3200
10,2,3,8,155,286,372.8322730064392,5950
10,2,3,9,173,286,532.8721444606781,9275
11,2,3,0,172,364,394.9768669605255,2825
11,2,3,1,141,364,440.71652030944824,3225
11,2,3,2,147,364,376.96831011772156,2525
11,2,3,3,138,364,688.4663355350494,5900
11,2,3,4,197,364,895.5596132278442,8775
11,2,3,5,191,364,609.4624626636505,4900
11,2,3,6,166,364,439.70684456825256,3300
11,2,3,7,192,364,446.3013186454773,3375
11,2,3,8,168,364,663.4736349582672,5200
11,2,3,9,181,364,735.6600019931793,6325
12,2,3,0,223,455,2646.038116455078,15125
12,2,3,1,271,455,633.4160072803497,2575
12,2,3,2,237,455,1651.1540930271149,8775
12,2,3,3,248,455,1121.9426646232605,5325
12,2,3,4,242,455,1343.9817440509796,6825
12,2,3,5,240,455,1835.3562679290771,10150
12,2,3,6,188,455,887.0698773860931,3775
12,2,3,7,223,455,1553.6704535484314,7925
12,2,3,8,206,455,2499.5324907302856,14225
12,2,3,9,225,455,1135.1536042690277,5250
13,2,3,0,264,560,3155.507307291031,9750
13,2,3,1,286,560,1302.6520564556122,3075
13,2,3,2,302,560,1634.5542163848877,3950
13,2,3,3,179,560,2513.6366345882416,7175
13,2,3,4,271,560,1648.8481516838074,3925
13,2,3,5,281,560,3853.4512362480164,12200
13,2,3,6,272,560,3763.4397463798523,11550
13,2,3,7,194,560,1824.3842544555664,4925
13,2,3,8,227,560,3570.4143896102905,14150
13,2,3,9,222,560,1284.9145512580872,2725
14,2,3,0,289,680,2319.2996792793274,2925
14,2,3,1,250,680,4071.4602420330048,9325
14,2,3,2,308,680,5770.105215787888,14525
14,2,3,3,255,680,2817.710358142853,5950
14,2,3,4,286,680,3934.3965408802032,8975
14,2,3,5,281,680,5581.715530395508,14350
14,2,3,6,253,680,6044.9427626132965,15100
14,2,3,7,231,680,4979.065830945969,11625
14,2,3,8,296,680,5350.5795476436615,13625
14,2,3,9,268,680,3692.571488380432,8600
15,2,3,0,256,816,9884.048438310623,15325
15,2,3,1,261,816,5881.695562124252,7925
15,2,3,2,326,816,6213.793334245682,9250
15,2,3,3,337,816,4469.057455539703,5550
15,2,3,4,344,816,9395.641382217407,14325
15,2,3,5,280,816,10246.085193395615,16125
15,2,3,6,345,816,5471.124676704407,5925
15,2,3,7,394,816,3231.9408917427063,3050
15,2,3,8,292,816,9336.778027534485,14400
15,2,3,9,336,816,6917.520061016083,10050
16,2,3,0,288,969,13306.153495073318,16200
16,2,3,1,307,969,10333.694351673126,11450
16,2,3,2,333,969,12972.55770778656,15175
16,2,3,3,295,969,5000.948713302612,4475
16,2,3,4,339,969,4630.613218307495,3675
16,2,3,5,291,969,9355.807913064957,10525
16,2,3,6,421,969,10412.505904197693,11950
16,2,3,7,349,969,4866.717100858688,4275
16,2,3,8,330,969,8514.49311709404,8850
16,2,3,9,370,969,11108.23237156868,12600
5,2,4,0,98,126,9.95545506477356,1775
5,2,4,1,104,126,19.24375343322754,4250
5,2,4,2,96,126,13.070498943328857,2650
5,2,4,3,109,126,11.896819829940796,2225
5,2,4,4,112,126,14.067989587783813,2675
